,AUC,Accuracy,Author,F1,Num_Samples
85,0.5828804347826086,0.7741935483870968,מיכה יוסף ברדיצ'בסקי,0.7194789081885855,229.0
86,0.5,0.7142857142857143,מנדלי מוכר ספרים,0.8333333333333333,23.0
87,0.6,0.7777777777777778,מנחם אוסישקין,0.7185185185185186,66.0
88,0.5,0.75,מנחם שטיין,0.8571428571428571,29.0
89,0.6666666666666667,0.8461538461538461,מנחם שינקין,0.8146853146853146,48.0
90,0.5,0.7,מנשה לוין,0.8235294117647058,36.0
91,0.75,0.8888888888888888,מקס נורדאו,0.874074074074074,31.0
92,0.5,0.8,מקסים גורקי,0.888888888888889,16.0
93,0.5,0.7,מרדכי בן הלל הכהן,0.8235294117647058,36.0
94,0.5,0.6666666666666666,מרדכי דוד ברנדשטטר,0.8,10.0
95,0.5,0.75,מרדכי צבי מאנה,0.8571428571428571,12.0
96,0.5,0.7380952380952381,משה בילינסון,0.8493150684931507,156.0
97,0.5,0.7142857142857143,משה בסוק,0.8333333333333333,25.0
98,0.5769230769230769,0.5769230769230769,משה גליקסון,0.4846846846846847,63.0
99,0.6875,0.8387096774193549,משה ליב לילינבלום,0.80995917428555,113.0
100,0.5,0.7692307692307693,משה סמילנסקי,0.8695652173913044,47.0
101,0.6,0.8,נחום סוקולוב,0.7450980392156863,73.0
102,1.0,1.0,נחמה פוחצ'בסקי,1.0,18.0
103,0.5,0.75,נתן אליהשווילי,0.8571428571428571,13.0
104,0.7565982404692082,0.8571428571428571,נתן אלתרמן,0.8455988455988455,154.0
105,0.5865384615384616,0.7647058823529411,נתן שחם,0.7338935574229692,62.0
106,0.725,0.8641975308641975,ס. יזהר,0.8440577817468319,301.0
107,0.6666666666666667,0.75,עזריאל נתן פרנק,0.7083333333333333,23.0
108,0.963768115942029,0.9782608695652174,עמוס אריכא,0.9780975219824141,689.0
109,0.5,0.6666666666666666,עמוס קינן,0.8,10.0
110,0.5,0.7,עמנואל בן-גריון,0.8235294117647058,36.0
111,1.0,1.0,פישל לחובר,1.0,16.0
112,0.5,0.6666666666666666,פנחס גריבסקי,0.8,21.0
113,0.5,0.6666666666666666,פניה ברגשטיין,0.8,21.0
114,0.6666666666666667,0.6363636363636364,פרץ סמולנסקין,0.5974025974025974,26.0
115,0.8357007575757577,0.8928571428571429,צבי שרפשטיין,0.8869686411149825,476.0
116,0.5,0.75,קארל צ'אפק,0.8571428571428571,12.0
117,0.5,0.75,קדיש יהודה סילמן,0.8571428571428571,14.0
118,0.5,0.75,קלמן שולמן,0.8571428571428571,29.0
119,0.75,0.8695652173913043,ראובן בריינין,0.8531139835487661,86.0
120,0.5,0.8,ראובן פאהן,0.888888888888889,17.0
121,0.7142857142857143,0.8620689655172413,רות בונדי,0.8402298850574712,108.0
122,0.5,0.7692307692307693,רחל אליאור,0.8695652173913044,48.0
123,0.5,0.5,רחל בלובשטיין,0.6666666666666666,19.0
124,0.5,0.7142857142857143,רפאל ספורטה,0.8333333333333333,24.0
125,1.0,1.0,שארל בודלר,1.0,10.0
126,0.5833333333333333,0.782608695652174,שולמית הראבן,0.7189042841216755,86.0
127,0.4807692307692308,0.6944444444444444,שושנה שרירא,0.5919854280510018,127.0
128,0.5,0.6666666666666666,שלום דב בר מקסימון,0.8,11.0
129,0.6041666666666667,0.7272727272727273,שלום עליכם,0.7080213903743316,41.0
130,0.5,0.6666666666666666,שלום שטריט,0.8,11.0
131,0.5,0.75,שלמה צמח,0.8571428571428571,29.0
132,0.5,0.6666666666666666,שלמה קפלנסקי,0.8,20.0
133,0.5,0.6666666666666666,שלמה שבא,0.8,22.0
134,0.7142857142857143,0.8620689655172413,שלמה שפאן,0.8402298850574712,108.0
135,0.5,0.7272727272727273,שמואל גילר,0.8421052631578948,40.0
136,0.5,0.75,שמואל טשרנוביץ,0.8571428571428571,30.0
137,0.5,0.75,שמואל יוסף פין,0.8571428571428571,12.0
138,0.5,0.7692307692307693,שמואל ליב ציטרון,0.8695652173913044,47.0
139,0.6666666666666667,0.8333333333333334,שמחה בן-ציון,0.7999999999999999,45.0
140,0.5,0.7692307692307693,שמריהו לוין,0.8695652173913044,47.0
141,0.8326403326403327,0.9,תקוה שריג,0.8954263128176172,185.0
